idna_subject,checker_type,destination,source,tested_at,session_id
adservice.google.ag,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:37.976373,c54c8db788e06b7063265ffd
adservice.google.ac,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:38.377700,c54c8db788e06b7063265ffd
adservice.google.af,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:40.227710,c54c8db788e06b7063265ffd
adservice.google.ae,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:40.237227,c54c8db788e06b7063265ffd
adservice.google.ad,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:40.759323,c54c8db788e06b7063265ffd
adservice.google.am,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:44.893476,c54c8db788e06b7063265ffd
adservice.google.al,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:46.469966,c54c8db788e06b7063265ffd
adservice.google.as,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:47.205260,c54c8db788e06b7063265ffd
adservice.google.ba,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:50.766066,c54c8db788e06b7063265ffd
adservice.google.at,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:51.042234,c54c8db788e06b7063265ffd
adservice.google.az,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:51.298294,c54c8db788e06b7063265ffd
adservice.google.be,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:51.988997,c54c8db788e06b7063265ffd
adservice.google.bg,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:56.537076,c54c8db788e06b7063265ffd
adservice.google.bf,AVAILABILITY,origin.list,origin.list,2022-04-08 05:11:59.660246,c54c8db788e06b7063265ffd
adservice.google.bi,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:00.091205,c54c8db788e06b7063265ffd
adservice.google.bj,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:03.446195,c54c8db788e06b7063265ffd
adservice.google.ca,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:04.940381,c54c8db788e06b7063265ffd
adservice.google.bs,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:04.917187,c54c8db788e06b7063265ffd
adservice.google.by,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:06.842670,c54c8db788e06b7063265ffd
adservice.google.bt,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:08.735987,c54c8db788e06b7063265ffd
adservice.google.cat,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:13.177695,c54c8db788e06b7063265ffd
adservice.google.cc,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:14.088997,c54c8db788e06b7063265ffd
adservice.google.cd,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:14.756612,c54c8db788e06b7063265ffd
adservice.google.cg,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:16.687471,c54c8db788e06b7063265ffd
adservice.google.cf,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:18.104853,c54c8db788e06b7063265ffd
adservice.google.ch,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:22.653267,c54c8db788e06b7063265ffd
adservice.google.cm,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:24.849673,c54c8db788e06b7063265ffd
adservice.google.ci,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:25.265017,c54c8db788e06b7063265ffd
adservice.google.cl,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:25.722404,c54c8db788e06b7063265ffd
adservice.google.co.ao,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:28.271676,c54c8db788e06b7063265ffd
adservice.google.co.bw,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:31.234641,c54c8db788e06b7063265ffd
adservice.google.co.ck,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:31.793839,c54c8db788e06b7063265ffd
adservice.google.co.cr,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:38.102000,c54c8db788e06b7063265ffd
adservice.google.co.hu,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:38.481878,c54c8db788e06b7063265ffd
adservice.google.co.id,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:40.984136,c54c8db788e06b7063265ffd
adservice.google.co.il,AVAILABILITY,origin.list,origin.list,2022-04-08 05:12:45.813007,c54c8db788e06b7063265ffd
